Year,Crude oil prices (US dollars per barrel)
1861,13.03598741
1862,25.14083285
1863,61.15337721
1864,123.1824394
1865,102.905645
1866,61.05630836
1867,41.21728379
1868,65.18658804
1869,65.36616542
1870,72.96512392
1871,86.59620205
1872,72.62907269
1873,36.51406676
1874,24.71829785
1875,29.38538905
1876,57.46476081
1877,54.3221567
1878,29.47545921
1879,22.06236352
1880,23.53082878
1881,21.30159237
1882,19.32004889
1883,25.65391107
1884,22.34740698
1885,23.41156922
1886,18.88887971
1887,17.82471747
1888,23.41156922
1889,25.00781257
1890,23.14552866
1891,17.82471747
1892,14.89827132
1893,17.02659579
1894,23.20692263
1895,39.07603735
1896,33.90420888
1897,22.69858052
1898,26.14646617
1899,37.06477072
1900,34.19153268
1901,27.58308519
1902,22.10183108
1903,25.00781257
1904,22.8794881
1905,16.49451468
1906,19.42096083
1907,18.47081597
1908,19.15492027
1909,18.62283915
1910,15.64888576
1911,15.64888576
1912,18.32927715
1913,22.97623012
1914,19.32781171
1915,15.11928897
1916,24.1619847
1917,29.177843
1918,31.53043961
1919,27.87870911
1920,36.76002414
1921,23.18959634
1922,23.03783992
1923,18.83666139
1924,20.06062508
1925,22.98710244
1926,25.48000715
1927,17.95612371
1928,16.37954172
1929,17.77950255
1930,17.09651463
1931,10.23857862
1932,15.27834161
1933,12.40125769
1934,17.91412248
1935,16.95066238
1936,18.86975835
1937,19.71412698
1938,19.23677706
1939,17.61387372
1940,17.4449568
1941,18.57250968
1942,17.5135028
1943,16.64400544
1944,16.4952011
1945,13.99144807
1946,13.74952102
1947,20.40203504
1948,19.82575423
1949,17.91301845
1950,17.03620087
1951,15.78444437
1952,15.45201067
1953,17.3010246
1954,17.21764617
1955,17.28712819
1956,17.0369929
1957,16.18391202
1958,17.25784734
1959,17.10808297
1960,15.38132861
1961,14.42922084
1962,14.2736963
1963,14.10521139
1964,13.91080572
1965,13.67751892
1966,13.30598808
1967,12.93013712
1968,12.411722
1969,11.77666348
1970,11.12000432
1971,13.25760267
1972,14.23164708
1973,17.77441441
1974,56.39161271
1975,51.4437484
1976,53.97661427
1977,55.09139879
1978,51.60886718
1979,104.4989156
1980,107.2749734
1981,94.86745336
1982,82.00031907
1983,71.20689608
1984,66.48124601
1985,61.4739119
1986,31.59946177
1987,38.9484023
1988,30.27748499
1989,35.27737722
1990,43.56819398
1991,35.24928393
1992,33.05157541
1993,28.18900353
1994,25.61583245
1995,26.79870239
1996,31.61620074
1997,28.55049625
1998,18.72299245
1999,25.88802198
2000,39.71607013
2001,33.12651028
2002,33.38386078
2003,37.60636173
2004,48.61761702
2005,67.00175693
2006,77.5547173
2007,83.79337298
2008,108.4151835
2009,68.99292547
2010,87.49809468
2011,118.7082823
2012,116.734367
2013,111.9468609
2014,100.3131527
2015,53.04762461
2016,43.73416996
1861,0.49
1862,1.05
1863,3.15
1864,8.06
1865,6.59
1866,3.74
1867,2.41
1868,3.63
1869,3.64
1870,3.86
1871,4.34
1872,3.64
1873,1.83
1874,1.17
1875,1.35
1876,2.56
1877,2.42
1878,1.19
1879,0.86
1880,0.95
1881,0.86
1882,0.78
1883,1
1884,0.84
1885,0.88
1886,0.71
1887,0.67
1888,0.88
1889,0.94
1890,0.87
1891,0.67
1892,0.56
1893,0.64
1894,0.84
1895,1.36
1896,1.18
1897,0.79
1898,0.91
1899,1.29
1900,1.19
1901,0.96
1902,0.8
1903,0.94
1904,0.86
1905,0.62
1906,0.73
1907,0.72
1908,0.72
1909,0.7
1910,0.61
1911,0.61
1912,0.74
1913,0.95
1914,0.81
1915,0.64
1916,1.1
1917,1.56
1918,1.98
1919,2.01
1920,3.07
1921,1.73
1922,1.61
1923,1.34
1924,1.43
1925,1.68
1926,1.88
1927,1.3
1928,1.17
1929,1.27
1930,1.19
1931,0.65
1932,0.87
1933,0.67
1934,1
1935,0.97
1936,1.09
1937,1.18
1938,1.13
1939,1.02
1940,1.02
1941,1.14
1942,1.19
1943,1.2
1944,1.21
1945,1.05
1946,1.12
1947,1.9
1948,1.99
1949,1.78
1950,1.71
1951,1.71
1952,1.71
1953,1.93
1954,1.93
1955,1.93
1956,1.93
1957,1.9
1958,2.08
1959,2.08
1960,1.9
1961,1.8
1962,1.8
1963,1.8
1964,1.8
1965,1.8
1966,1.8
1967,1.8
1968,1.8
1969,1.8
1970,1.8
1971,2.24
1972,2.48
1973,3.29
1974,11.58
1975,11.53
1976,12.8
1977,13.92
1978,14.02
1979,31.61
1980,36.83
1981,35.93
1982,32.97
1983,29.55
1984,28.78
1985,27.56
1986,14.43
1987,18.43503937
1988,14.9238417
1989,18.22611328
1990,23.72582031
1991,20.0009144
1992,19.32083658
1993,16.97163424
1994,15.81762646
1995,17.01667969
1996,20.66848837
1997,19.09258755
1998,12.71566148
1999,17.97007782
2000,28.49544922
2001,24.44389105
2002,25.02325581
2003,28.83070313
2004,38.265
2005,54.52108949
2006,65.1440625
2007,72.38907843
2008,97.25597276
2009,61.67126482
2010,79.4955336
2011,111.2555976
2012,111.6697024
2013,108.6585178
2014,98.94600791
2015,52.38675889
2016,43.73416996
