Year,Average Emission,Average Renewable
2000,35.74097266702426,47004018.333333336
2001,36.13246720111983,46129929.166666664
2002,36.10570939363937,47718645.0
2003,36.249443066217204,48314706.666666664
2004,36.022130345190234,51769929.166666664
2005,36.62849348805721,53601217.21311475
2006,37.23544749878034,55572822.76422764
2007,37.04209283822198,57242458.53658537
2008,36.93069796455157,60402460.97560976
2009,36.997158420257115,62725220.325203255
2010,37.039088596895894,56766261.78861789
2011,37.62599526879647,44278094.30894309
2012,41.88269329659152,69766885.29411764
